"#AGTG Extremely happy and blessed to say that I have received an offer from The University of Kansas !!
@CoachWallaceKU
 @Glap_IV
@KU_Football
 season tickets 
 Special pricing to 
@KUHoops
 games
 Exclusive opportunities & more

Buy today → http://bit.ly/23GradPackage" 2h
"Some photos of the Jayhawks at the 77th National Debate Tournament, head over to the Kansas Debate Facebook page to check out the rest!

#RockChalk " "Apr 19"
"Kansas basketball lineup as we currently sit: #kubball

PG: Dajuan Harris
SG: Elmarko Jackson
SF: Nick Timberlake
PF: KJ Adams
C: Ernest Udeh

6th: Marcus Adams 
7th: Zuby Ejiofor
8th: Jamari McDowell
9th: Chris Johnson
10th: Kyle Cuffe

 for Dickinson, Arterio, and or Ingram" "Apr 19"
"Big #KUbball news brewing " 4h
"Dallas did not disappoint today! A lot of talent, plus got to see Super Bowl Champ, 5x Pro Bowler, and Jayhawk great 
@AqibTalib21
 #RockChalk " 23h
"See what Bill Self had to say about new #KUbball signee Marcus Adams Jr. on Monday." "Apr 17"
"Thank you 
@mkbrooks0225
  for being the special guest tonight at Hawk Talk 
#RockChalk #kubaseball" "Apr 24"
"Congratulations to Mitchell Steele & the Steele family on Mitchell's commitment to attend school & to continue his football career at Bethany College. Mitchell got accepted into the school & received a scholarship from Bethany College. We look forward to seeing Steele compete!" 15m
"KU HOOPS HEARINGS LIVE.

INBOXES NOW. #KUbball" "Apr 17"
"True #CommercialFun #humor #OPLive" "Apr 22"
"Rise and Shine 

Another great week to elevate! #RockChalk" "Apr 24"
"Towson transfer Nick Timberlake has committed to Kansas, per his Instagram. First portal get for Bill Self this off season. #kubball" "Apr 19"
"Game 1 in Omaha:
Team Loaded NC - 81
NY Jayhawks - 54

Eli Ellis - 25 pts, 5 ast
Felipe Patino - 16 pts (5 3’s)
Isaac Ellis - 13 pts, 5 reb 
Elijah Mitchell - 8 pts 4 reb

Mercy rule win with 3 min left. Game 2 at 5:50 CT vs Dream Vision" "Apr 21"
"Always and forever! #KUbball" "Apr 21"
"The 
@UnivOfKansas
 is ranked #1 in #paleontology graduate programs at public universities! 
#RockChalk 
@KUGradStudies
 @KU_EEB
 @KUGeology" 8h
"Gotta come help add to the collection. #kubball" "Apr 16"
"Jayhawks at Sheperds Bush empire last night. Still some great gigs at smaller venues. Much preferable to stadiums and huge arenas. London has many problems but there's always a great gig and great sport constantly." "Apr 15"
"Attention KU Community!!! The goal is job satisfaction. You’ll never have a job you like better. Not for everybody but it could be for you. https://employment.ku.edu/jobs/staff/landscape-worker/24718br… 
@UnivOfKansas
 @kualumni
 @KUvets
 #RockChalk #PleaseRetweet" 14h
"Big 12 Championship ready 

Prairie Dunes 

#RockChalk" "Apr 23"
"The less you wear, the sexier you get." "Apr 23"
"Nick Timberlake is an ELITE scorer, especially from the three point line.

It was a must needed addition for the Kansas Jayhawks.

Bill Self never misses out on what he wants; Timberlake is going to solve many problems from last season terrifically. 

#KUBball" "Apr 19"
"The Alumni Relations Office, College of Health Sciences, OAU, Ile-Ife, felicitates with Dr. Babalola Faseru, a member of the 1997 Medical and Dental graduating set on his appointment as Professor of Population Health at the University of Kansas, effective from July 1, 2023." "Apr 22"
"Hunter Dickinson is in Lawrence for his scheduled official visit. Big couple of days for the coaching staff. #kubball" "Apr 21"
"I’m grateful and blessed to receive an offer from the University of Kansas 
@AllenTrieu
 @adamgorney
 @Rivals_Clint
 @GHamilton_On3
 @FootballHowell
 @CoachSimps" "Apr 17"
"It was an honor recognizing these students today at the IPA recognition breakfast! They are outstanding Jayhawks and I know they’re going to great things at Glenbard North! #WeAreJayhawks" "Apr 24"
"SENIOR DAY SHOWCASE 
Mazi Phillips

Will be attending the University of Kansas to study human biology (pre-med)

Her favorite team memory is winning districts my sophomore year against an undefeated team and having a crazy state-run to finals!
@mngv_soccer" "Apr 24"
"Bill Self is just getting started. Nick Timberlake was a big target from the beginning and is a key piece to the class. #kubball" "Apr 19"
"Who's damn incompetence led to 72nd and Dodge being almost unusable in all directions?" "Apr 18"
"NEW EPISODE dropping tomorrow! So excited to be joined by former KUDT 
@SamBurt75
 on the podcast! 

Subscribe now and get notified when it goes live!
#KUfball #RockChalk" "Apr 21"
"GAME UPDATE 

Jayhawks win today 7-2 over Mid Michigan

12-3 Conference record after todays win. 

Back in action Tuesday 4/18 against #5 Lansing." "Apr 16"
"ESPN released their FPI for 2023 with Texas the highest ranked in the #Big12.

Check it out at https://espn.com/college-football/fpi…

#hookem #sooners #gofrogs #wreckem #sicem #chargeon #emaw #gopokes #cyclones #gobearcats #gocoogs #hailwv #gocougs #rockchalk" "Apr 18"
"Welcome to the greatest! #RockChalk

Time to win another one of these…" "Apr 19"
"We’re back!!!" "Apr 24"
"Thank you 
@KUCoachZ
 from 
@KU_Football
 for visiting 
@VeronaWildcatFB
 today! I truly always enjoy your visits, new and improved with transparent business cards! #RollCats #RockChalk" "Apr 24"
"Wishing my little bro Blake 
@blakebaile
 good luck as today is the 1st day of voting for The University of Kansas Student Senate President. His campaign puts students 1st w/ emphasis on Sustainability & Mental Health services. Really proud of him! #rockchalk #kansasuniversity #ku" "Apr 17"
"Are these the best week 2 games?

#HookEm #RollTide #GoDucks #WreckEm #famILLy #RockChalk #GoUtes #SicEm #oneTROY #EMAW" "Apr 23"
" 6’8” sniper Tyler Betsey’24 
@TylerBetsey1
 of 
@NYRhoops
 & 
@StThomasMoreBB
 has now earned an offer from  Kansas #kubball " "Apr 24"
"Thank you to 
@thekccurrent
 for having us out today! 

#RockChalk x #KCBABY" "Apr 23"
"Happy Bill Self Day to all who celebrate 2 national championships, 4 Final Fours and enough Big 12 championships that he's exhausting banner companies in the Lawrence/KC Metro area! #kubball" "Apr 21"
"FINAL: #OkState 14, Kansas 3

A phenomenal outing by Ben Abram and the Cowboy bullpen propels OSU to a series win over the Jayhawks in Lawrence.

The Cowboys (27-13, 10-7) have played 29 combined runs in games one and two, and will look for the series sweep with a win tomorrow." "Apr 22"
"Today in 
@GoShockers
 history: 
1951 – The University of Wichita announces the hiring of Ralph Miller as basketball coach. Miller, 32, comes to college after coaching Wichita East High School to the state title. The Chanute native played at the University of Kansas." 13h
"BH finished an unforgettable weekend at the Tournament of Champions in the TOP 16! We’re beyond proud of BH and AR, the TOC is no joke and these kids gave it their all!!

s/o to all the Jayhawks old and new for the support and stay tuned for more nationals updates #RaiderDB8fam" "Apr 18"
"As we reported several days ago, Texas Tech transfer Jaylon Tyson plans to visit Kansas. As of about two hours ago, no date had been set it, but is in the works. #kubball" "Apr 22"
"Single-Game Highlights: 2024 Zion Harrison (Hillsborough) went 5-5 from three yesterday and dropped 21 in a tough loss against Jayhawks HGSL. The 6’3 wing’s energy is unmatched!! #earnit" "Apr 22"
"Jaiden Glover at Adidas 3SSB Chapter 1 with the NY Jayhawks! 
@3SSBCircuit
 @JaidenGlover" "Apr 23"
"#NowPlaying The Jayhawks - Save It For A Rainy Day

sur http://stationsimone.fr

#VotreWebtransistor" "Apr 22"
"My full interview with Jayhawks star Jalen Wilson (
@thejalenwilson
) this guy just loves to hoop.
@KUHoops
 @GorillasMBB
 @DanBeckler
 @Mass_StNIL" "Apr 16"
"Tuesday Transfer Portal Update: For the latest on Primo Spears, Jaylon Tyson, and Arterio Morris, click the link below. #kubball

https://kansas.forums.rivals.com/threads/tuesday-transfer-portal-update.113975/…" 9h
"We are definitely in Kansas now. Time to show the Jayhawks how we handle things on the field in West Texas and bring home another series W.

Wreck 'em!" "Apr 21"
"The Jayhawks are back in action next Saturday, hosting Kansas State and Creighton at Wyandotte County Lake!" "Apr 22"
"Hawks are making their way through the front 9. Freshman Will King just eagled the Par-5 17th and is even through 8!

 | https://bit.ly/40yYaIK

#RockChalk" 10h
"The Best Time of the Year 

Big 12 Championship
 Prairie Dunes CC
 9:07 am 
 https://results.golfstat.com/public/leaderboards/gsnav.cfm?pg=team&tid=26021…
 https://kuathletics.com/%f0%9f%8f%8c%ef%b8%8fjayhawks-set-for-big-12-championship-at-prairie-dunes/…

#RockChalk x #KUGolf" "Apr 24"
"The Jayhawks are going after one of the top receivers in the nation and we have more intel in our latest football recruiting update. #kufball

LINK: https://kansas.forums.rivals.com/threads/recruiting-nuggets-for-tuesday-april-25th.113974/…" 10h
"Arterio Morris said he’s committing in two weeks on Instagram live #KUbball" "Apr 24"
"I see the tools have come out." 3h
"Just listened to the 
@keith_langford
 episode of 
@AintNoSeatsPod
 and it was fantastic. One of the greatest Jayhawks of all time. 
@tgoff11
 get that man in the rafters. 

#kubball" "Apr 22"
"2022: Kansas Jayhawks win National Championship for first time since 2008

2023: Kansas City, Missouri will host the NFL Draft at Union Station 

2023: The Chiefs Host The NFL Kickoff Game, will Update Championship Banner" "Apr 20"
"Coastal picks up a transfer quarterback from the Kansas Jayhawks. 

Vasko brings four years of eligibility to a position that badly needs depth." "Apr 24"
"First D-1 signee.  Goodluck moving forward kid! #WARBONNE  #RockChalk" "Apr 17"
"""Not that I didn't enjoy relaxing, but that relaxing stuff is overrated after a certain period of time."" - KU men's basketball coach Bill Self shares what he was thinking about while missing time at work before yesterday's Dillon Lecture Series #kubball" "Apr 19"
" Brandon Schneider Named KBCA Coach of the Year – Kansas Jayhawks" "Apr 19"
"'24 4Jaiden Glover (
@JaidenGlover
) has received an offer from Xavier. The 6'6 W from The Patrick School (NJ) is running with NY Jayhawks (
@NYJayhawks
) on the Adidas 3SSB Circuit. Glover has offers from Providence and West Virginia among others" 8h
"Denton Guyer '25 DT Xavier Ukponu (
@XUkponu
) has been offered by Lance Leipold and Kansas. #RockChalk

https://247sports.com/Player/Xavier-Ukponu-46129629/…
https://hudl.com/profile/16950925/Xavier-Ukponu…" 20m
"Yes sir. 
@NickJTimberlake
  
Rock Chalk! Huge pickup for the Jayhawks." "Apr 19"
"Former #KUbball assistant coach Jerrance Howard is joining the staff at Southern Illinois, the school announced today..." "Apr 19"
"According to his IG page, Nick Timberlake has committed to #KUbball. The Towson combo guard w/ good size & legit experience is a big time shooter & will compete for a big role on the 2023-24 KU roster. Big time pick-up & the first of 3 or 4 coming from the portal for the Jayhawks" "Apr 19"
"""Dirty"" Dutch Mantel and ""Hangman"" Bobby Jaggers,the rough and tough combination known as The Kansas Jayhawks back in 1986." "Apr 24"
"MJ Rice is headed to play for NC State. #KUbball" "Apr 19"
"Georgetown guard Primo Spears is expected to begin an official visit to Kansas tomorrow. #KUbball

Here's some background info on him: https://247sports.com/college/kansas/article/kansas-basketball-transfer-portal-recruiting-primo-spears-set-to-208877952/…" "Apr 24"
"Jayhawks were CRUISIN’ in the men’s 800m 

A.J. Green and Justice Dick went 1 & 2 in both their heat & overall, while T.J. Robinson came in 4th " "Apr 21"
"Happy Senior Night Maddy! Thank you for your commitment to LSE! 
Plans: Attend the University of Kansas, Majoring in Journalism and Business
Memory: The bus ride home after state when our tire popped! 
Quote: “Where there is no struggle, there is no strength.”" "Apr 24"
"Hawks are in the clubhouse after Round 3 and in 6th after a strong day on the course!

""We need to be ready to play the final round; conditions will be less than ideal!"" -- Coach Bermel

#RockChalk" 6h
"Here are the latest happenings in the world of #KUbball portal recruiting. 

(VIP): https://247sports.com/college/kansas/board/103717/Contents/the-latest-ku-basketball-transfer-update-418-208546929/?page=1…" "Apr 18"
"𝐍𝐞𝐰 𝐰𝐞𝐞𝐤. 𝐒𝐚𝐦𝐞 𝐠𝐨𝐚𝐥𝐬. 

Your Jayhawks will head into the NCAA Tournament ranked 25 in the nation" 10h
"Here are the accolades that Nick Timberlake received during his 4+ year career at Towson.  
'20 Colonial 6th Man of the Year
'22 1st Team - All CAA
'23 1st Team - All CAA
'23 Led CAA in FT% at 84.5%
'23 Led CAA in Threes Made 92
'23 Led CAA in Minutes Played 1,177
#KUbball" "Apr 20"
"Chris Harris Jr. 

Pro Day

#RockChalk" "Apr 19"
"Go All-Access with us for a week in the new upcoming series ""Jayhawk Life"" 

Premiering tomorrow right here!

#RockChalk | 
@DempseysPub" "Apr 24"
"Former Jayhawk MJ Rice is headed home to North Carolina, where he'll join the NC State squad for next season... #KUbball" "Apr 19"
"Thank you 
@CoachFuchs
 and 
@KU_Football
 for the camp invite!  Looking forward to heading to Lawrence, KS this summer.  #RockChalk  
@PalmerRidgeFB
 @5asONE" "Apr 20"
"Kansas gets the series win Monday" "Apr 24"
"Bill is in the building 

Bill Self is speaking in the Dillon Lecture Series in Hutchinson today. Find out what he had to say tonight on 
@kakenews
! #KAKEnews #kubball" "Apr 18"
"Jayhawks are in the clubhouse after 36 holes on Monday. We are in 8th at +25 with William Duquette inside the Top 10 at T9. 

#RockChalk" "Apr 24"
"First question to KU men's basketball coach Bill Self before yesterday's The Ray & Stella Dillon Lecture Series? A unique one about winning and if things have changed  #kubball" "Apr 19"
"Sherron now the Coach at Ochai’s high school

#kubball" "Apr 24"
"#AprilAcrossAmerica 
Going to Wichita
Wichita - The Jayhawks 
https://youtu.be/MiKBqo9Oq8o" "Apr 22"
"Townsend Weekly Announcements:" "Apr 23"
"How 'bout the freshman?!

Will King picks up 3 straight birdies and is 1-under for his round! The Hawks are up to 6th on their Back 9s.

#RockChalk" 9h
"These are the top ten Kansas basketball players that rival schools loved to hate the most. #KUbball

(via 
@Josh_Schulman04
)" "Apr 23"
"Massive news for the Jayhawks. Brunhn was a key target for several months. #kufball" "Apr 20"
"Morris considered the Jayhawks coming out of high school:" "Apr 19"
"As the Office for Civil Rights investigates the University of Kansas School of Medicine for one discriminatory scholarship, we found that the institution offers two additional discriminatory scholarships." "Apr 24"
"He’s been playing well, looking forward to this weekend. At 
@BigShotsGlobal
 Showdown." 23m
"*Stanford transfer Harrison Ingram commits to UNC. He was slated to visit Kansas on Sunday, but that will not happen now. #KUbball" "Apr 22"
"WE > me

#RockChalk" 10h
"Best of RCST Podcast 4-17-23:
- #kubball visit news aplenty
- 
@DBLesky
- Case of the Mondays
- 
@JohnnysTaverns
 KU Club Interview: 
@JayhawkHockey
- #RCSTtrivia

Google Play: http://bit.ly/rcstgoogle  

Spotify: http://bit.ly/rcstspotify 

iTunes:" "Apr 17"
"Really cool Video.  Let's finish strong Jayhawks!!" 7h
"Went to support 
@Softball_OSHS
 and saw KU legend 
@nickcollison4
!! Thanks for the pic!! #RockChalk" "Apr 24"
"Former #KUbball walk-on Terry Nooner has been named the head women’s basketball coach at Wichita State, per a KU release. Nooner has been an assistant coach for Brandon Schneider for the past 3 seasons…" "Apr 17"
"From A Sellout crowd->CollegeGame Day->Clinching Bowl Eligibility....Which was the biggest moment for Sam?

Here's a quick snippet of that conversation. Check out the full episode with 
@SamBurt75
  over on https://youtu.be/S4rn6vrJKTE

#kufball #rockchalk #collegefootball" "Apr 23"
"#OnMJNow > This Forgotten Town - The Jayhawks >Listen= http://just.wtf
 >Buy= https://links.autopo.st/5qx9" "Apr 19"
"Jayhawks command a one-run lead heading to the bottom of the fourth" "Apr 24"
"College Basketball Live: Kansas Jayhawks Breakdown" "Apr 23"
"it’s 𝗼𝗳𝗳𝗶𝗰𝗶𝗮𝗹.

welcome to the Jayhawks, 
@marcusadams21
 " "Apr 17"
"Making the turn in Round 2!

T4. Duquette, -2 (9)
T18. Cooper, +4 (9)
T26. Belisle, +6 (12)
T31. Broin, +8 (8)
T37. King, +9 (10)

Jayhawks in 6th as a team. 

#RockChalk" "Apr 24"
"Aggies win and advance!
Final score:
Aggies - 23
Jayhawks - 6" "Apr 22"
"SENIOR WEEK SHOWCASE
Shelby Brandenburg 
@shelbybran_
 
University of Kansas
Pre-Med Track

“My favorite part about being in Scotus Soccer is the bond that we have created as a team and having fun together everyday while working hard. “

We THANK YOU Shelby for all you’ve done!!!" 23h
"𝔹𝕀𝔾 𝔹𝔼ℕ

 for 
@ben_abram
 against the Jayhawks today

5.2 IP
7 H
2 R
2 ER
2 BB
4 K

#OurStandard #GoPokes" "Apr 22"
"Here’s what Bill Self said via KU press release #KUbball" "Apr 17"
"Here's what Bill Self said about new #KUbball signee Marcus Adams Jr. in a KU release.

""We think he is very underrated and a youngster that can find immediate minutes with the departure of our tall wings from last year.”" "Apr 17"
"~Former~ 
